recommendation_id,constituency_id,recommendation_type,title,description,priority,confidence_score,impact_score,effort_level,target_audience,estimated_cost,estimated_timeline_days,status,assigned_to,ai_reasoning,data_sources,expected_outcomes,risks,created_at,updated_at,completed_at,feedback_rating,feedback_notes
37101cf1-c9f8-4622-b3eb-fc0a0693ed65,PC01,crisis_response,Improve healthcare in Ward 5,Recommendation based on AI analysis of ground data,high,0.89,90.1,medium,farmers,239130.06,50,completed,officer_4,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve service delivery by 39%"", ""Benefit 1272 people directly""]","[""Resource availability""]",2025-12-19 18:29:00,2025-12-22 18:29:00,2026-02-28 18:29:00,4.0,
92feef0f-8966-48b6-ba2f-e972b6527722,PC01,outreach,Improve education in Ward 4,Recommendation based on AI analysis of ground data,high,0.71,89.0,low,youth,209036.42,78,rejected,officer_1,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve satisfaction by 28%"", ""Benefit 3244 people directly""]","[""Weather conditions""]",2025-05-26 05:14:00,2025-05-27 05:14:00,,,
99a7fecd-0fad-4561-a5c9-38c8178d5794,PC01,resource_allocation,Improve healthcare in Ward 3,Recommendation based on AI analysis of ground data,medium,0.79,65.3,high,women,435817.01,40,completed,officer_3,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve infrastructure quality by 18%"", ""Benefit 1609 people directly""]",[],2025-03-31 12:34:00,2025-04-24 12:34:00,2025-05-13 12:34:00,3.0,
eff2e4e3-db7a-4e9c-8087-5d9176434105,PC01,crisis_response,Improve infrastructure in Ward 1,Recommendation based on AI analysis of ground data,critical,0.76,80.1,medium,farmers,214571.57,10,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve satisfaction by 20%"", ""Benefit 4549 people directly""]","[""Budget constraints""]",2025-09-28 04:37:00,2025-09-30 04:37:00,,,
49f45819-93cc-479d-ad3f-a75626982009,PC01,resource_allocation,Improve education in Ward 1,Recommendation based on AI analysis of ground data,high,0.87,82.2,low,youth,194238.77,35,accepted,officer_3,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 22%"", ""Benefit 2002 people directly""]","[""Stakeholder resistance""]",2025-06-08 11:10:00,2025-06-29 11:10:00,,,
765a2159-c216-497d-a854-c25ffcf6e030,PC01,resource_allocation,Improve healthcare in Ward 1,Recommendation based on AI analysis of ground data,high,0.82,86.4,low,farmers,58833.06,32,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve service delivery by 21%"", ""Benefit 1502 people directly""]",[],2025-04-01 10:44:00,2025-04-30 10:44:00,,,
3d57f792-0b13-4ec1-8044-ee0bbc9368ca,PC01,policy,Improve healthcare in Ward 4,Recommendation based on AI analysis of ground data,high,0.8,67.8,high,farmers,94654.01,18,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media"", ""field_reports""]","[""Improve infrastructure quality by 40%"", ""Benefit 1919 people directly""]",[],2025-11-17 21:00:00,2025-12-12 21:00:00,,,
113b3b66-0ca2-42b6-9367-17df2e555749,PC01,crisis_response,Improve healthcare in Ward 3,Recommendation based on AI analysis of ground data,low,0.72,67.8,low,women,481312.98,85,completed,officer_7,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve service delivery by 25%"", ""Benefit 1495 people directly""]",[],2025-01-30 04:51:00,2025-02-14 04:51:00,2025-04-08 04:51:00,4.0,
a2b67d97-fb10-4b0f-a022-1e02172a32c5,PC01,crisis_response,Improve education in Ward 3,Recommendation based on AI analysis of ground data,medium,0.94,60.4,low,women,294583.54,65,pending,,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances"", ""social_media""]","[""Improve satisfaction by 23%"", ""Benefit 4946 people directly""]","[""Resource availability""]",2025-01-22 22:21:00,2025-02-21 22:21:00,,,
d35b6202-c27c-40ce-ac2c-01d0f6d83768,PC01,policy,Improve healthcare in Ward 1,Recommendation based on AI analysis of ground data,low,0.81,76.3,medium,farmers,452289.27,14,in_progress,officer_3,Based on sentiment analysis and historical data patterns,"[""visit_records"", ""grievances""]","[""Improve satisfaction by 40%"", ""Benefit 709 people directly""]",[],2025-06-03 20:38:00,2025-06-15 20:38:00,,,
